ASV,zr2757_10V3V4,zr2757_1V3V4,zr2757_2V3V4,zr2757_3V3V4,zr2757_4V3V4,zr2757_5V3V4,zr2757_6V3V4,zr2757_7V3V4,zr2757_8V3V4,zr2757_9V3V4
ASV_51,8,52,25,12,78,18,0,35,17,7
ASV_52,0,0,66,0,0,27,31,2,107,18
ASV_53,19,19,24,23,73,20,22,18,17,12
ASV_54,33,14,0,37,96,7,10,48,0,1
ASV_55,30,8,9,33,77,16,16,26,13,18
ASV_56,9,5,20,14,15,64,78,5,12,23
ASV_57,12,14,31,26,67,28,19,30,6,10
ASV_58,59,19,7,26,27,13,40,44,4,3
ASV_59,50,17,6,3,8,26,21,72,32,6
ASV_60,17,10,25,4,12,40,52,28,45,8
ASV_61,12,9,27,14,9,39,63,26,32,10
ASV_62,26,52,2,50,41,4,22,26,3,13
ASV_63,9,1,18,0,0,12,12,10,169,8
ASV_64,4,10,35,60,90,9,12,7,8,4
ASV_65,56,12,9,32,51,4,12,49,3,10
ASV_66,46,36,0,49,42,12,9,43,0,1
ASV_67,37,14,8,38,52,13,11,49,8,7
ASV_68,90,51,0,6,0,35,2,50,1,1
ASV_69,19,27,26,24,67,16,2,28,14,13
ASV_70,75,18,4,13,3,24,29,57,7,3
ASV_71,8,6,0,45,167,1,1,4,0,0
ASV_72,0,2,44,19,33,49,38,1,22,24
ASV_73,48,22,4,25,26,8,31,47,4,16
ASV_74,5,3,34,4,25,33,20,4,77,26
ASV_75,46,12,9,0,1,52,14,77,16,3
ASV_76,26,18,17,5,21,27,20,82,9,5
ASV_77,18,1,28,18,38,14,70,8,15,18
ASV_78,9,25,20,46,50,20,18,17,15,8
ASV_79,49,10,15,7,10,58,26,36,9,7
ASV_80,120,5,2,6,2,0,0,86,1,3
ASV_81,45,11,2,4,12,67,10,70,2,0
ASV_82,55,24,7,8,4,21,17,76,3,7
ASV_83,7,0,18,1,6,60,20,15,83,12
ASV_84,7,16,29,39,52,2,12,6,39,20
ASV_85,26,26,3,28,14,70,15,32,0,7
ASV_86,15,45,10,63,50,16,12,1,5,3
ASV_87,39,45,7,23,16,18,9,50,5,6
ASV_88,8,10,7,72,77,19,7,7,4,7
ASV_89,8,27,18,24,78,4,8,35,9,6
ASV_90,0,26,0,150,31,0,1,9,0,0
ASV_91,11,3,11,4,11,59,23,42,36,16
ASV_92,20,10,4,18,10,48,70,17,10,7
ASV_93,1,0,1,0,0,9,201,0,1,0
ASV_94,38,7,31,8,43,19,13,17,17,19
ASV_95,45,14,13,5,18,1,12,35,59,8
ASV_96,28,5,11,8,28,43,4,49,30,4
ASV_97,22,41,8,16,60,3,0,49,7,4
ASV_98,18,25,3,32,87,2,13,22,5,3
ASV_99,9,5,12,41,74,5,2,37,19,6
ASV_100,0,0,37,0,0,28,30,0,93,22
ASV_101,5,11,21,10,56,65,16,0,10,15
ASV_102,3,1,33,8,11,57,47,5,24,20
ASV_103,58,11,1,7,31,32,11,57,0,0
ASV_104,12,10,21,19,97,6,12,19,10,2
ASV_105,0,5,30,9,4,57,47,7,24,25
ASV_106,45,7,13,7,10,23,14,47,26,15
ASV_107,20,29,12,15,33,28,4,45,12,9
ASV_108,6,2,50,8,33,14,27,12,33,22
ASV_109,1,3,47,13,54,10,31,0,37,10
ASV_110,5,3,32,38,79,2,10,12,12,12
ASV_111,113,6,0,0,0,2,0,82,0,0
ASV_112,77,29,0,2,3,0,0,91,0,1
ASV_113,72,26,7,18,28,0,4,44,3,1
ASV_114,41,46,11,12,7,26,5,36,13,5
ASV_115,0,0,50,16,38,2,17,0,55,24
ASV_116,0,0,21,0,1,23,78,0,67,11
ASV_117,73,33,0,12,17,1,1,63,0,0
ASV_118,0,0,14,45,130,0,0,0,8,3
ASV_119,0,8,16,22,112,14,0,9,12,6
ASV_120,34,7,4,8,21,64,31,22,6,1
ASV_121,9,6,13,5,28,10,55,38,22,12
ASV_122,3,12,18,33,86,10,3,17,13,3
ASV_123,11,6,18,16,55,24,10,21,27,9
ASV_124,1,0,35,1,11,46,46,0,37,20
ASV_125,0,4,25,63,55,1,32,2,8,5
ASV_126,2,2,58,1,7,7,5,5,53,54
ASV_127,0,1,0,106,86,1,0,0,0,0
ASV_128,4,4,25,18,41,7,0,2,84,8
ASV_129,51,14,0,12,44,0,0,71,0,0
ASV_130,25,17,10,18,24,10,29,50,5,4
ASV_131,19,6,25,10,21,53,7,27,17,6
ASV_132,8,13,30,28,34,39,7,9,13,10
ASV_133,4,9,20,27,67,12,5,18,21,8
ASV_134,60,18,8,5,12,22,9,55,0,1
ASV_135,31,16,7,12,22,14,24,39,18,7
ASV_136,17,17,10,26,42,11,20,36,5,6
ASV_137,0,1,0,90,99,0,0,0,0,0
ASV_138,12,4,7,8,6,28,55,47,16,6
ASV_139,0,1,41,16,22,13,25,0,35,36
ASV_140,20,13,26,9,24,21,15,46,8,6
ASV_141,14,4,16,20,62,15,17,18,15,7
ASV_142,8,5,37,4,18,7,2,13,64,30
ASV_143,17,39,4,29,59,12,1,17,4,4
ASV_144,13,4,13,27,60,15,27,7,8,12
ASV_145,4,0,47,2,11,3,5,4,92,18
ASV_146,24,14,5,2,15,51,41,11,4,18
ASV_147,35,6,8,9,9,44,10,53,8,2
ASV_148,33,4,15,5,24,17,12,32,33,9
ASV_149,10,39,1,23,52,19,6,34,0,0
ASV_150,4,11,16,21,79,10,9,17,13,4
ASV_151,0,0,5,15,14,124,7,1,14,4
ASV_152,29,42,8,21,23,6,12,29,6,6
ASV_153,18,8,18,31,51,13,6,18,5,14
ASV_154,0,0,58,5,4,0,9,0,84,22
ASV_155,33,24,1,21,29,0,15,51,1,6
ASV_156,22,7,0,11,76,21,7,36,1,0
ASV_157,20,11,1,0,0,30,9,109,1,0
ASV_158,73,25,0,0,0,0,0,82,0,0
ASV_159,30,4,10,11,34,23,14,39,9,5
ASV_160,23,8,16,7,9,20,9,51,30,6
ASV_161,0,0,0,2,16,0,161,0,0,0
ASV_162,31,24,10,14,18,0,42,17,8,14
ASV_163,21,10,3,60,61,1,0,20,0,2
ASV_164,20,25,6,23,32,21,3,34,11,3
ASV_165,15,10,9,23,32,24,1,33,19,12
ASV_166,26,10,19,0,0,30,40,30,9,13
ASV_167,20,8,11,13,30,25,31,28,6,5
ASV_168,50,14,8,19,49,2,0,30,4,0
ASV_169,29,7,6,14,9,45,11,45,4,6
ASV_170,20,50,4,25,21,4,4,43,4,1
ASV_171,18,14,14,13,8,20,0,68,15,6
ASV_172,85,0,2,17,12,16,5,35,2,1
ASV_173,15,20,9,25,73,7,5,19,1,1
ASV_174,13,1,18,6,77,5,1,33,16,5
ASV_175,10,59,15,14,22,1,2,34,11,7
ASV_176,8,9,16,27,66,5,3,30,9,2
ASV_177,0,0,67,1,3,6,19,0,56,23
ASV_178,24,13,8,23,32,14,5,41,8,6
ASV_179,15,25,7,17,52,9,7,31,6,5
ASV_180,35,3,3,6,3,18,52,23,2,28
ASV_181,0,0,21,0,0,25,46,1,13,67
ASV_182,25,10,0,6,15,25,41,48,2,0
ASV_183,16,2,5,4,1,78,14,25,16,10
ASV_184,0,0,39,0,0,7,22,0,82,21
ASV_185,77,42,0,1,1,9,0,40,0,0
ASV_186,26,12,15,22,38,10,12,13,6,16
ASV_187,7,11,0,39,107,0,0,6,0,0
ASV_188,3,1,37,6,15,29,20,1,46,12
ASV_189,58,14,1,32,16,1,5,41,0,1
ASV_190,49,0,0,0,0,37,42,36,5,0
ASV_191,33,12,19,2,4,27,12,16,28,16
ASV_192,22,11,13,6,10,36,18,31,18,4
ASV_193,21,3,49,11,13,10,11,13,20,18
ASV_194,5,3,19,0,3,9,46,37,27,20
ASV_195,0,0,30,3,10,5,10,4,94,13
ASV_196,0,0,1,2,4,98,55,0,3,6
ASV_197,29,9,2,22,40,10,18,38,0,0
ASV_198,1,0,10,2,1,96,34,0,14,10
ASV_199,34,22,0,22,48,0,0,41,0,0
ASV_200,17,12,18,4,7,14,4,62,25,4
ASV_201,16,6,20,17,41,22,14,18,8,5
ASV_202,14,18,2,45,34,10,7,9,11,17
ASV_203,8,3,15,19,34,22,4,14,12,36
ASV_204,1,0,0,91,72,1,0,2,0,0
ASV_205,36,7,0,3,7,51,13,49,0,0
ASV_206,27,8,5,12,37,17,33,19,1,7
ASV_207,22,23,36,8,13,12,16,25,6,4
ASV_208,19,24,7,11,43,2,8,40,7,4
ASV_209,2,9,66,8,18,0,3,1,36,22
ASV_210,0,0,42,0,0,2,9,0,93,19
ASV_211,6,3,2,37,102,0,0,12,1,1
ASV_212,1,0,14,0,0,68,22,1,29,29
ASV_213,0,1,26,25,87,2,1,0,10,12
ASV_214,50,11,0,7,10,24,28,33,0,0
ASV_215,16,30,3,25,32,14,15,17,2,9
ASV_216,11,14,20,24,62,0,7,14,8,3
ASV_217,7,15,22,38,57,1,0,3,18,2
ASV_218,13,7,13,11,25,16,8,16,46,7
ASV_219,11,10,7,28,61,8,11,18,6,2
ASV_220,4,7,14,15,3,54,11,2,12,40
ASV_221,85,44,0,0,0,0,1,31,0,0
ASV_222,35,15,3,9,20,31,4,38,1,5
ASV_223,33,16,1,24,55,5,4,23,0,0
ASV_224,26,20,5,6,24,23,15,39,1,2
ASV_225,26,6,8,16,28,20,7,24,12,14
ASV_226,20,8,18,3,16,47,30,15,4,0
ASV_227,20,21,1,28,43,6,11,28,1,2
ASV_228,8,6,5,1,0,29,82,13,10,7
ASV_229,5,11,16,30,63,1,7,16,7,5
ASV_230,3,4,0,46,80,1,18,9,0,0
ASV_231,0,0,27,0,0,19,32,0,67,16
ASV_232,57,9,1,6,10,11,11,49,5,1
ASV_233,31,11,4,18,29,4,20,33,6,4
ASV_234,11,21,15,26,13,8,16,21,17,12
ASV_235,10,9,3,7,11,37,61,11,3,8
ASV_236,0,0,58,1,5,22,10,0,42,22
ASV_237,68,22,1,8,3,1,0,56,0,0
ASV_238,14,14,4,7,6,47,10,25,23,9
ASV_239,13,6,4,6,41,14,65,8,0,2
ASV_240,9,10,14,18,39,10,20,35,2,2
ASV_241,0,0,33,0,0,15,4,0,104,3
ASV_242,38,7,1,40,42,1,3,23,0,3
ASV_243,22,6,0,13,11,14,56,25,3,8
ASV_244,15,7,9,10,5,37,44,7,4,20
ASV_245,2,10,11,17,17,43,18,5,22,13
ASV_246,0,6,21,18,70,11,15,0,10,6
ASV_247,37,1,0,1,2,43,41,28,3,0
ASV_248,20,20,11,15,17,9,8,32,18,6
ASV_249,17,8,18,11,35,18,5,22,15,7
ASV_250,4,11,19,28,45,16,8,6,10,9
ASV_251,35,7,0,3,11,16,43,39,0,1
ASV_252,19,2,13,1,7,16,53,28,12,4
ASV_253,3,1,29,2,3,10,4,4,71,28
ASV_254,0,0,64,2,27,7,14,0,31,10
ASV_255,33,0,5,4,7,42,7,51,5,0
ASV_256,32,7,0,0,3,53,21,37,1,0
ASV_257,15,3,2,4,31,30,25,40,2,2
ASV_258,12,16,1,49,36,1,24,15,0,0
ASV_259,32,15,1,12,19,25,14,35,0,0
ASV_260,15,14,7,21,41,6,11,26,5,7
ASV_261,4,1,47,2,20,22,14,2,24,17
ASV_262,3,9,10,17,78,9,12,9,2,4
ASV_263,1,11,12,1,5,16,89,2,5,11
ASV_264,1,1,24,13,61,7,10,4,27,5
ASV_265,59,42,0,11,10,0,1,29,0,0
ASV_266,33,12,7,0,2,40,7,40,9,2
ASV_267,12,5,8,2,5,78,19,15,4,4
ASV_268,6,11,3,27,83,7,0,7,7,1
ASV_269,4,7,5,27,84,6,0,13,3,3
ASV_270,3,1,28,3,14,18,13,5,65,2
ASV_271,70,2,2,5,5,3,1,60,1,2
ASV_272,29,33,3,25,14,11,7,22,1,6
ASV_273,0,4,16,2,1,78,15,3,20,12
ASV_274,0,0,51,0,2,11,29,0,47,11
ASV_275,42,10,6,17,24,3,2,34,8,4
ASV_276,17,22,4,9,10,41,15,23,9,0
ASV_277,12,19,5,7,25,17,21,31,6,7
ASV_278,10,8,9,9,30,13,41,15,9,6
ASV_279,5,4,0,1,0,134,3,3,0,0
ASV_280,0,6,16,23,70,9,0,9,11,6
ASV_281,9,4,15,13,45,12,25,14,8,4
ASV_282,8,4,1,32,42,10,36,9,2,5
ASV_283,8,1,0,15,94,4,0,14,12,1
ASV_284,3,2,14,0,7,3,4,28,84,4
ASV_285,3,3,33,14,16,5,10,2,42,20
ASV_286,0,0,27,6,15,21,9,8,51,11
ASV_287,23,37,1,13,44,0,1,28,0,0
ASV_288,23,3,5,0,0,62,23,17,7,7
ASV_289,7,4,16,6,13,25,9,14,42,11
ASV_290,4,21,8,41,42,9,9,3,9,1
ASV_291,4,7,5,24,98,0,0,4,3,2
ASV_292,34,25,1,5,25,5,0,51,0,0
ASV_293,33,3,4,0,7,6,1,83,8,1
ASV_294,26,26,3,13,51,1,7,17,0,2
ASV_295,22,16,8,17,48,2,0,26,5,2
ASV_296,12,11,13,7,11,25,19,4,17,27
ASV_297,5,10,17,23,66,4,7,6,7,1
ASV_298,45,1,0,0,0,82,1,16,0,0
ASV_299,25,2,0,0,1,19,71,26,0,1
ASV_300,23,40,7,6,26,4,10,24,1,4
ASV_301,11,22,2,21,53,8,2,15,3,8
ASV_302,7,0,5,0,0,34,55,7,33,4
ASV_303,3,6,15,24,57,15,5,4,10,6
ASV_304,29,9,8,9,11,0,8,53,2,15
ASV_305,12,10,12,14,33,13,6,26,18,0
ASV_306,7,13,22,0,4,25,18,19,29,7
ASV_307,1,13,13,19,88,5,0,0,1,4
ASV_308,0,1,1,32,109,0,0,1,0,0
ASV_309,13,6,5,24,52,4,9,22,5,3
ASV_310,5,4,23,23,38,9,1,16,17,7
ASV_311,1,1,1,59,60,0,20,0,0,1
ASV_312,0,0,60,0,0,2,6,0,49,26
ASV_313,25,14,14,3,1,22,22,20,10,11
ASV_314,12,8,11,6,47,5,17,27,5,4
ASV_315,10,3,9,2,7,8,62,21,7,13
ASV_316,9,44,14,10,23,2,3,26,8,3
ASV_317,3,8,13,51,41,0,6,9,3,8
ASV_318,0,0,56,0,3,0,9,0,46,28
ASV_319,0,0,36,15,26,0,5,0,32,28
ASV_320,19,10,10,2,13,30,22,18,13,4
ASV_321,5,22,1,62,47,0,1,1,1,1
ASV_322,3,0,7,31,58,20,16,0,3,3
ASV_323,42,45,0,3,5,1,0,44,0,0
ASV_324,22,16,1,2,6,18,5,69,1,0
ASV_325,3,0,23,5,2,12,11,5,74,5
ASV_326,51,29,1,9,0,17,1,29,0,2
ASV_327,47,7,1,3,11,6,16,32,3,13
ASV_328,33,9,2,8,21,7,22,29,6,2
ASV_329,33,21,1,9,15,18,19,16,0,7
ASV_330,26,1,5,0,1,26,31,26,4,19
ASV_331,26,2,1,3,2,12,2,91,0,0
ASV_332,24,7,2,11,28,7,0,54,5,1
ASV_333,20,9,0,4,4,18,5,79,0,0
ASV_334,25,3,2,4,2,8,31,28,14,21
ASV_335,14,20,7,20,41,6,0,22,7,1
ASV_336,13,3,7,0,0,14,48,19,27,7
ASV_337,12,23,7,20,45,7,3,15,6,0
ASV_338,2,1,29,14,69,4,1,0,14,4
ASV_339,30,10,0,6,30,12,0,49,0,0
ASV_340,29,25,1,6,10,1,0,60,0,5
ASV_341,21,24,4,20,24,6,6,25,4,3
ASV_342,8,1,25,0,7,18,21,9,35,13
ASV_343,4,15,2,71,25,12,2,4,2,0
ASV_344,1,5,31,1,9,20,53,2,3,12
ASV_345,0,6,27,8,51,9,7,1,20,8
ASV_346,0,1,23,9,36,5,1,0,53,9
ASV_347,0,0,30,0,1,4,15,1,75,11
ASV_348,47,1,0,2,1,0,4,81,0,0
ASV_349,47,24,1,12,26,0,2,22,1,1
ASV_350,28,1,10,6,9,1,6,35,34,6
ASV_351,27,8,7,18,39,7,3,25,0,2
ASV_352,11,22,0,28,45,6,2,22,0,0
ASV_353,8,3,23,11,19,14,19,5,19,15
ASV_354,3,0,9,23,73,5,8,7,4,4
ASV_355,0,1,39,0,0,6,17,1,65,7
ASV_356,47,3,3,1,1,37,4,34,2,3
ASV_357,27,54,2,1,3,0,1,47,0,0
ASV_358,24,12,0,5,23,34,13,24,0,0
ASV_359,9,12,19,22,18,0,38,7,4,6
ASV_360,73,2,0,0,0,0,0,59,0,0
ASV_361,23,9,2,26,33,8,8,20,1,4
ASV_362,16,27,3,10,45,14,4,15,0,0
ASV_363,12,17,1,18,10,45,9,17,2,3
ASV_364,4,4,7,56,30,7,8,6,9,3
ASV_365,3,10,16,7,4,15,58,9,3,9
ASV_366,2,4,13,22,71,8,8,4,0,2
ASV_367,0,0,29,0,0,0,25,0,67,13
ASV_368,26,8,14,7,14,6,15,25,3,15
ASV_369,11,14,12,12,23,12,9,11,24,5
ASV_370,42,23,0,11,15,2,0,39,0,0
ASV_371,26,12,0,23,37,4,7,22,1,0
ASV_372,16,2,11,19,28,12,10,13,11,10
ASV_373,14,22,21,4,9,4,6,32,14,6
ASV_374,11,7,7,15,37,10,1,26,10,8
ASV_375,1,0,29,1,4,11,6,0,71,9
ASV_376,0,0,0,9,121,2,0,0,0,0
ASV_377,21,13,6,17,35,8,4,23,3,1
ASV_378,17,7,6,15,29,13,18,18,1,7
ASV_379,6,3,10,20,64,7,6,7,4,4
ASV_380,19,7,3,30,41,6,6,13,4,1
ASV_381,6,4,21,8,37,13,19,9,5,8
ASV_382,20,4,26,7,15,8,17,9,10,13
ASV_383,14,11,6,20,28,6,24,12,1,7
ASV_384,10,5,0,16,57,2,1,38,0,0
ASV_385,9,26,0,10,40,0,0,44,0,0
ASV_386,2,3,24,28,34,0,17,2,10,9
ASV_387,1,5,15,18,73,5,8,2,2,0
ASV_388,19,14,17,7,29,4,5,29,3,1
ASV_389,11,2,19,7,27,14,18,9,12,9
ASV_390,9,16,5,5,8,28,36,16,3,2
ASV_391,9,8,25,19,29,8,7,14,2,7
ASV_392,8,7,13,10,8,61,3,6,6,6
ASV_393,6,0,11,0,3,16,10,6,73,3
ASV_394,6,2,23,13,52,7,12,2,8,3
ASV_395,5,2,20,8,17,28,23,3,10,12
ASV_396,2,3,10,45,41,1,22,0,3,1
ASV_397,0,0,0,30,94,3,0,1,0,0
ASV_398,31,0,0,0,0,0,3,93,0,0
ASV_399,27,11,0,2,14,17,13,40,3,0
ASV_400,10,72,2,0,0,2,2,35,2,2
ASV_401,6,3,4,6,79,1,2,20,4,2
ASV_402,6,6,0,17,74,0,0,24,0,0
ASV_403,0,1,22,6,34,11,0,0,47,6
ASV_404,0,0,20,0,0,2,4,0,89,12
ASV_405,0,0,6,65,48,1,5,1,1,0
ASV_406,62,3,0,0,0,6,0,55,0,0
ASV_407,55,18,0,5,4,0,0,44,0,0
ASV_408,30,12,3,14,13,6,17,23,4,4
ASV_409,26,5,0,15,35,14,4,27,0,0
ASV_410,19,12,2,30,43,2,1,15,2,0
ASV_411,3,2,17,4,6,32,15,1,30,16
ASV_412,2,0,23,0,0,21,25,1,46,8
ASV_413,1,9,2,63,45,0,1,4,0,1
ASV_414,16,7,4,0,2,68,3,18,4,3
ASV_415,14,7,14,14,18,21,4,16,12,5
ASV_416,12,33,3,17,31,1,2,26,0,0
ASV_417,9,6,28,17,14,5,8,14,15,9
ASV_418,5,10,15,3,10,8,26,12,23,13
ASV_419,1,8,8,11,26,25,24,2,13,7
ASV_420,0,0,23,9,32,10,25,0,10,16
ASV_421,23,17,3,3,12,4,0,60,2,0
ASV_422,9,12,2,22,60,1,8,10,0,0
ASV_423,8,5,14,13,37,10,6,17,8,6
ASV_424,5,8,9,15,40,15,0,13,19,0
ASV_425,0,1,4,15,32,58,3,1,4,6
ASV_426,55,13,1,3,6,3,5,35,2,0
ASV_427,32,39,0,12,7,0,2,30,0,1
ASV_428,14,2,3,4,10,39,9,13,17,12
ASV_429,13,2,15,6,4,9,53,7,4,10
ASV_430,8,6,11,21,13,7,35,7,3,12
ASV_431,6,11,0,21,39,23,0,22,0,1
ASV_432,4,3,7,15,66,4,6,14,4,0
ASV_433,2,6,3,1,0,89,7,7,6,2
ASV_434,0,4,0,32,74,3,10,0,0,0
ASV_435,58,15,0,0,0,0,0,49,0,0
ASV_436,42,9,4,16,14,5,9,23,0,0
ASV_437,22,15,6,2,4,22,9,18,14,10
ASV_438,17,10,4,9,32,4,31,11,1,3
ASV_439,15,8,5,8,9,35,15,12,10,5
ASV_440,7,5,22,18,33,10,2,8,16,1
ASV_441,2,0,0,11,30,42,36,0,0,1
ASV_442,0,1,45,1,2,13,3,2,49,6
ASV_443,26,29,3,13,5,2,5,28,3,7
ASV_444,24,6,0,3,4,36,2,43,0,3
ASV_445,21,10,0,2,9,32,13,34,0,0
ASV_446,14,11,2,6,8,26,10,26,10,8
ASV_447,13,7,16,13,32,6,0,13,16,5
ASV_448,10,10,10,16,49,8,8,4,2,4
ASV_449,10,7,13,10,32,16,7,9,8,9
ASV_450,9,3,8,1,5,5,61,14,11,4
ASV_451,6,13,16,37,32,0,0,3,8,6
ASV_452,4,15,7,13,51,8,5,8,8,2
ASV_453,58,14,0,0,1,0,0,47,0,0
ASV_454,37,8,3,6,4,3,1,41,13,4
ASV_455,18,11,4,8,13,16,15,32,1,2
ASV_456,41,7,5,8,6,18,5,24,4,1
ASV_457,16,3,8,5,11,12,33,10,9,12
ASV_458,13,2,5,12,15,16,37,15,4,0
ASV_459,0,0,29,0,0,0,0,0,82,8
ASV_460,18,8,3,7,34,16,8,17,4,3
ASV_461,13,5,4,11,58,1,1,22,2,1
ASV_462,13,5,11,9,37,9,8,11,10,5
ASV_463,10,3,16,4,30,18,16,6,4,11
ASV_464,4,1,19,33,27,1,4,4,6,19
ASV_465,2,3,0,0,0,100,8,4,0,1
ASV_466,38,10,0,12,21,0,1,35,0,0
ASV_467,32,5,7,12,20,0,2,35,2,2
ASV_468,28,14,0,13,20,8,3,31,0,0
ASV_469,17,6,7,13,19,5,5,37,4,4
ASV_470,14,7,2,14,28,9,11,10,11,11
ASV_471,13,7,0,20,49,1,11,16,0,0
ASV_472,13,2,0,1,0,56,34,11,0,0
ASV_473,8,21,1,12,39,0,0,36,0,0
ASV_474,6,9,21,6,9,1,12,19,24,10
ASV_475,2,3,4,21,35,30,14,0,3,5
ASV_476,0,4,16,0,0,0,24,5,65,3
ASV_477,33,4,2,9,21,6,5,31,3,2
ASV_478,20,10,9,11,29,9,9,17,2,0
ASV_479,14,25,3,20,18,0,13,17,2,4
ASV_480,7,1,6,14,34,16,4,5,14,15
ASV_481,6,5,3,19,49,12,7,9,3,3
ASV_482,6,6,12,11,30,17,16,6,5,7
ASV_483,5,9,1,7,17,23,31,9,12,2
ASV_484,4,7,10,10,6,54,1,7,11,6
ASV_485,23,17,20,2,10,2,1,28,7,5
ASV_486,18,27,0,17,22,0,0,31,0,0
ASV_487,14,1,3,2,3,44,35,10,1,2
ASV_488,9,16,2,41,24,6,5,1,5,6
ASV_489,7,3,32,10,13,0,11,5,4,30
ASV_490,7,2,3,0,0,4,57,23,13,6
ASV_491,2,0,19,0,0,7,16,0,65,6
ASV_492,0,3,1,0,0,103,2,0,5,1
ASV_493,0,0,13,9,1,3,26,0,21,42
ASV_494,36,11,0,3,5,4,2,53,0,0
ASV_495,26,13,5,8,14,13,12,19,2,2
ASV_496,11,7,1,29,31,1,4,27,2,1
ASV_497,0,0,15,0,0,25,27,0,41,6
ASV_498,60,1,0,0,0,0,1,51,0,0
ASV_499,31,0,0,0,0,0,0,81,1,0
ASV_500,30,6,2,6,4,17,15,32,1,0
ASV_501,20,0,2,10,13,0,23,40,1,4
ASV_502,16,9,2,19,33,3,3,25,3,0
ASV_503,15,0,10,9,6,1,32,17,10,13
ASV_504,10,6,4,30,37,5,6,13,1,1
ASV_505,7,3,4,6,3,6,61,7,4,12
ASV_506,2,1,17,7,21,20,19,0,25,1
ASV_507,55,3,0,0,0,3,0,51,0,0
ASV_508,31,17,0,11,22,2,3,26,0,0
ASV_509,20,2,0,4,6,3,36,36,4,1
ASV_510,13,14,1,23,24,4,8,17,3,5
ASV_511,7,7,0,21,72,0,0,5,0,0
ASV_512,7,16,19,0,2,0,4,13,36,15
ASV_513,7,1,13,5,6,30,7,15,15,13
ASV_514,4,2,4,22,63,0,1,14,2,0
ASV_515,1,0,21,6,18,12,26,0,19,9
ASV_516,56,8,0,1,2,0,0,44,0,0
ASV_517,27,0,0,0,0,0,0,84,0,0
ASV_518,21,6,0,3,11,17,15,25,11,2
ASV_519,18,19,1,18,12,14,11,12,3,3
ASV_520,18,15,1,7,4,30,19,11,5,1
ASV_521,13,38,1,17,6,5,15,4,6,6
ASV_522,10,1,5,2,2,56,10,19,5,1
ASV_523,8,8,11,20,36,0,11,7,8,2
ASV_524,5,4,4,32,50,7,1,3,0,5
ASV_525,1,5,3,55,30,0,2,3,4,8
ASV_526,0,2,53,8,16,6,5,0,13,8
ASV_527,0,0,24,0,0,0,4,0,64,19
ASV_528,61,4,0,2,0,0,0,43,0,0
ASV_529,42,1,0,8,14,0,1,44,0,0
